,Latitude,Longitude,Dec 25
407,38.52,-107.75,1.0
410,39.1,-104.83,1.0
411,39.11,-104.86,1.0
412,39.06,-104.87,0.0
416,39.97,-105.51,0.8
417,39.99,-105.48,0.5
418,39.99,-105.44,0.5
419,39.97,-105.43,0.5
421,39.97,-105.4,0.5
422,40.08,-105.18,0.0
424,39.9,-105.01,0.0
425,40.77,-104.69,0.0
428,38.21,-103.82,0.0
429,40.16,-103.07,0.0
431,38.03,-107.67,1.0
433,37.27,-107.08,18.5
434,37.26,-106.93,11.5
435,37.19,-106.98,7.0
437,37.34,-107.15,24.0
440,39.11,-108.36,2.0
441,39.1,-108.37,2.0
442,39.12,-104.91,1.0
443,39.12,-104.91,1.0
445,38.39,-108.95,0.0
446,39.52,-104.8,0.0
449,40.09,-106.2,8.0
451,39.09,-104.53,1.5
452,38.96,-104.61,0.5
453,38.91,-104.56,0.5
454,38.6,-106.53,20.0
455,38.02,-108.05,3.0
457,38.34,-107.09,9.5
460,38.26,-104.55,0.0
462,38.29,-104.51,0.0
463,38.26,-104.72,0.0
466,38.33,-104.79,0.0
467,38.3,-104.79,0.0
469,39.83,-105.24,0.0
471,40.09,-108.77,1.0
474,37.14,-108.23,2.0
475,39.25,-107.24,4.5
478,38.2,-107.8,0.8
479,39.56,-107.73,3.0
482,38.04,-103.69,0.0
484,38.09,-105.35,1.0
485,39.43,-105.07,0.0
486,40.7,-105.71,3.0
487,38.84,-104.97,1.0
488,37.91,-104.92,0.0
490,37.91,-104.95,0.0
491,38.09,-106.15,0.0
494,38.63,-106.12,0.5
495,37.82,-107.11,9.0
496,38.4,-106.42,11.0
498,39.39,-104.95,0.0
499,40.87,-102.52,0.0
501,38.47,-102.3,0.0
503,39.59,-107.67,5.0
505,39.62,-106.1,19.2
506,39.9,-106.31,10.5
509,37.66,-106.62,14.0
511,40.49,-106.82,11.0
512,40.48,-106.81,14.0
517,39.43,-105.12,0.0
519,40.01,-105.89,17.0
520,38.34,-104.06,0.0
522,37.95,-107.87,9.0
523,39.45,-104.74,0.0
528,38.47,-102.08,0.0
529,37.18,-104.49,0.0
530,37.15,-104.56,0.0
532,39.64,-106.35,19.0
534,39.65,-106.33,10.1
535,39.63,-106.29,14.0
536,37.38,-107.58,11.0
537,39.98,-102.25,0.0
538,40.97,-105.22,1.0
540,40.74,-106.28,8.0
541,37.63,-104.8,0.0
543,37.38,-102.3,0.0
544,40.11,-105.44,2.0
545,40.43,-105.21,0.0
546,37.43,-106.03,0.0
547,38.13,-105.47,0.0
548,38.14,-105.46,0.1
551,39.9,-105.03,0.0
555,38.28,-104.52,0.0
557,39.77,-105.11,0.0
558,39.77,-105.12,0.0
562,40.47,-104.98,0.0
563,39.89,-105.76,28.0
565,40.08,-103.57,0.0
568,40.16,-106.91,5.0
569,40.08,-106.89,12.5
573,40.21,-102.81,0.0
0,41.35,-73.09,0.0
1,41.84,-73.01,2.0
8,42.0,-72.44,2.5
9,41.31,-72.15,0.5
12,41.06,-73.45,0.0
15,41.76,-72.59,0.5
17,41.84,-71.84,3.0
18,41.35,-72.24,1.0
22,41.61,-71.93,1.5
23,41.29,-72.67,1.0
26,41.94,-72.68,2.0
